,Specimen ID,Cre Line,Donor Sex,Donor Age,Brain Region,Cortical Layer,Hemisphere,Structure Acronym
39,524857207,Chrna2-Cre_OE25,,,"""Primary visual area, layer 5""",5,right,VISp5
52,488679042,Rorb-IRES2-Cre,,,"""Primary visual area, layer 5""",5,right,VISp5
56,480169202,Rorb-IRES2-Cre,,,"""Primary visual area, layer 4""",4,right,VISp4
88,560678143,Vip-IRES-Cre,,,"""Primary visual area, layer 5""",5,right,VISp5
135,471129934,Rbp4-Cre_KL100,,,"""Primary visual area, layer 5""",5,left,VISp5
136,524850271,Chrna2-Cre_OE25,,,"""Primary visual area, layer 5""",5,left,VISp5
143,486025194,Rbp4-Cre_KL100,,,"""Primary visual area, layer 5""",5,left,VISp5
176,476053392,Rorb-IRES2-Cre,,,"""Primary visual area, layer 4""",4,right,VISp4
217,314857059,Scnn1a-Tg3-Cre,,,"""Primary visual area, layer 2/3""",2/3,right,VISp2/3
261,480114344,Rorb-IRES2-Cre,,,"""Primary visual area, layer 5""",5,right,VISp5
267,488680211,Rorb-IRES2-Cre,,,"""Primary visual area, layer 6a""",6a,left,VISp6a
289,589760138,Sim1-Cre_KJ18,,,"""Primary visual area, layer 5""",5,left,VISp5
347,589441038,Sim1-Cre_KJ18,,,"""Primary visual area, layer 5""",5,left,VISp5
553,589427435,Sim1-Cre_KJ18,,,"""Postrhinal area, layer 5""",5,right,VISpor5
591,515249852,Rbp4-Cre_KL100,,,"""Primary visual area, layer 5""",5,left,VISp5
636,599393756,Tlx3-Cre_PL56,,,"""Primary visual area, layer 5""",5,right,VISp5
750,480116737,Rorb-IRES2-Cre,,,"""Primary visual area, layer 5""",5,right,VISp5
757,557242105,Sim1-Cre_KJ18,,,"""Postrhinal area, layer 5""",5,left,VISpor5
796,515511110,Rbp4-Cre_KL100,,,"""Primary visual area, layer 4""",4,right,VISp4
935,607124114,Tlx3-Cre_PL56,,,"""Primary visual area, layer 5""",5,left,VISp5
981,314900022,Scnn1a-Tg3-Cre,,,"""Primary visual area, layer 4""",4,right,VISp4
985,488681087,Rorb-IRES2-Cre,,,"""posteromedial visual area, layer 5""",5,right,VISpm5
1067,476051620,Rorb-IRES2-Cre,,,"""Lateral visual area, layer 4""",4,left,VISl4
1084,485610263,Rbp4-Cre_KL100,,,"""Primary visual area, layer 4""",4,right,VISp4
1147,480169278,Rorb-IRES2-Cre,,,"""Primary visual area, layer 5""",5,right,VISp5
1164,471143169,Rbp4-Cre_KL100,,,"""Primary visual area, layer 5""",5,right,VISp5
1190,485608017,Rbp4-Cre_KL100,,,"""Primary visual area, layer 4""",4,right,VISp4
1192,589442285,Sim1-Cre_KJ18,,,"""Primary visual area, layer 5""",5,left,VISp5
1233,589764355,Sim1-Cre_KJ18,,,"""Lateral visual area, layer 5""",5,right,VISl5
1248,487664663,Rbp4-Cre_KL100,,,"""Primary visual area, layer 5""",5,left,VISp5
1295,479225052,Rorb-IRES2-Cre,,,"""Primary visual area, layer 5""",5,left,VISp5
1313,480169178,Rorb-IRES2-Cre,,,"""Primary visual area, layer 5""",5,right,VISp5
1356,471131311,Rbp4-Cre_KL100,,,"""Lateral visual area, layer 5""",5,right,VISl5
1471,488680917,Rorb-IRES2-Cre,,,"""Primary visual area, layer 5""",5,right,VISp5
1571,589755198,Sim1-Cre_KJ18,,,"""Primary visual area, layer 5""",5,left,VISp5
1596,479225080,Rorb-IRES2-Cre,,,"""Primary visual area, layer 5""",5,left,VISp5
1668,476049169,Rorb-IRES2-Cre,,,"""Primary visual area, layer 5""",5,right,VISp5
1738,599334696,Tlx3-Cre_PL56,,,"""Primary visual area, layer 5""",5,left,VISp5
1761,557252022,Sim1-Cre_KJ18,,,"""Primary visual area, layer 5""",5,right,VISp5
1888,515524026,Rbp4-Cre_KL100,,,"""Primary visual area, layer 5""",5,right,VISp5
1889,486054618,Rbp4-Cre_KL100,,,"""Primary visual area, layer 5""",5,left,VISp5
1922,486052980,Rbp4-Cre_KL100,,,"""Primary visual area, layer 5""",5,right,VISp5
2033,488683322,Rorb-IRES2-Cre,,,"""Primary visual area, layer 5""",5,right,VISp5
2076,488683425,Rbp4-Cre_KL100,,,"""Primary visual area, layer 5""",5,left,VISp5
2127,471141261,Rbp4-Cre_KL100,,,"""Primary visual area, layer 5""",5,left,VISp5
2175,314831019,Scnn1a-Tg3-Cre,,,"""Primary visual area, layer 5""",5,left,VISp5
2246,589427013,Sim1-Cre_KJ18,,,"""Primary visual area, layer 6a""",6a,right,VISp6a
2304,476048909,Rorb-IRES2-Cre,,,"""Primary visual area, layer 5""",5,left,VISp5
